sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E02_event_006,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10590164999999985,"FL,FR,RR",RR,"FL,FR",True,True,4
E02_event_007,event,E02,EVENT_OK,及时检出,0.10028219000000149,RR,RR,,False,False,1
E02_event_008,event,E02,EVENT_OK,及时检出,0.10620347000000407,RR,RR,,False,False,1
E02_event_009,event,E02,EVENT_OK,及时检出,0.10724624000000205,RR,RR,,False,False,1
E02_event_010,event,E02,EVENT_OK,及时检出,0.10368314000000112,RR,RR,,False,False,1
E02_event_011,event,E02,EVENT_OK,及时检出,0.09947526999999923,RR,RR,,False,False,1
E02_event_012,event,E02,EVENT_OK,及时检出,0.102752559999999,RR,RR,,False,False,1
E02_event_013,event,E02,EVENT_OK,及时检出,0.09958708999999999,RR,RR,,False,False,1
E02_event_014,event,E02,EVENT_OK,及时检出,0.11014421000000141,RR,RR,,False,False,1
E02_event_015,event,E02,EVENT_OK,及时检出,0.09942874999999418,RR,RR,,False,False,1
E02_event_016,event,E02,EVENT_OK,及时检出,0.10432640999999876,RR,RR,,False,False,1
E02_event_017,event,E02,EVENT_OK,及时检出,0.10340133999999779,RR,RR,,False,False,1
E02_event_018,event,E02,EVENT_OK,及时检出,0.10673603000000043,RR,RR,,False,False,1
E02_event_019,event,E02,EVENT_OK,及时检出,0.10563718000000222,RR,RR,,False,False,1
E02_event_020,event,E02,EVENT_OK,及时检出,0.09883896999999564,RR,RR,,False,False,1
E02_event_021,event,E02,EVENT_OK,及时检出,0.10785072000000184,RR,RR,,False,False,1
E02_event_022,event,E02,EVENT_OK,及时检出,0.0969929000000036,RR,RR,,False,False,1
E02_event_023,event,E02,EVENT_OK,及时检出,0.0995429800000025,RR,RR,,False,False,1
E02_event_024,event,E02,EVENT_OK,及时检出,0.11206019000000111,RR,RR,,False,False,1
E02_event_025,event,E02,EVENT_OK,及时检出,0.09944809999999649,RR,RR,,False,False,1
E02_event_026,event,E02,EVENT_OK,及时检出,0.09621008999999958,RR,RR,,False,False,1
E02_event_027,event,E02,EVENT_OK,及时检出,0.10716627000000045,RR,RR,,False,False,1
E02_event_028,event,E02,EVENT_OK,及时检出,0.10028123000000022,RR,RR,,False,False,1
E02_event_029,event,E02,EVENT_OK,及时检出,0.10343919999999684,RR,RR,,False,False,1
E02_event_030,event,E02,EVENT_OK,及时检出,0.10641402000000255,RR,RR,,False,False,1
E02_event_031,event,E02,EVENT_OK,及时检出,0.10310084999999702,RR,RR,,False,False,1
E02_event_032,event,E02,EVENT_OK,及时检出,0.1058394000000007,RR,RR,,False,False,1
E02_event_033,event,E02,EVENT_OK,及时检出,0.10902950999999916,RR,RR,,False,False,1
E02_event_034,event,E02,EVENT_OK,及时检出,0.10508978000000013,RR,RR,,False,False,1
E02_event_035,event,E02,EVENT_OK,及时检出,0.10288526000000076,RR,RR,,False,False,1
E02_event_036,event,E02,EVENT_OK,及时检出,0.10198608999999692,RR,RR,,False,False,1
E02_event_037,event,E02,EVENT_OK,及时检出,0.09559701999999959,RR,RR,,False,False,1
E02_event_038,event,E02,EVENT_OK,及时检出,0.10713017000000491,RR,RR,,False,False,1
E02_event_039,event,E02,EVENT_OK,及时检出,0.09967050999999572,RR,RR,,False,False,1
E02_event_040,event,E02,EVENT_OK,及时检出,0.1110118399999962,RR,RR,,False,False,1
E02_event_041,event,E02,EVENT_OK,及时检出,0.09803858000000076,RR,RR,,False,False,1
E02_event_042,event,E02,EVENT_OK,及时检出,0.10435793999999987,RR,RR,,False,False,1
E02_event_043,event,E02,EVENT_OK,及时检出,0.10285969999999622,RR,RR,,False,False,1
E02_event_044,event,E02,EVENT_OK,及时检出,0.1057350000000028,RR,RR,,False,False,1
E02_event_045,event,E02,EVENT_OK,及时检出,0.09901516000000044,RR,RR,,False,False,1
E02_event_046,event,E02,EVENT_OK,及时检出,0.1046330900000001,RR,RR,,False,False,1
E02_event_047,event,E02,EVENT_OK,及时检出,0.10163115999999661,RR,RR,,False,False,1
E02_event_048,event,E02,EVENT_OK,及时检出,0.10341397999999913,RR,RR,,False,False,1
E02_event_049,event,E02,EVENT_OK,及时检出,0.10553696000000201,RR,RR,,False,False,1
E02_event_050,event,E02,EVENT_OK,及时检出,0.09957003000000242,RR,RR,,False,False,1
E02_normal_001,normal,E02,NORMAL_FALSE_ALARM,正常误报,,FR,,FR,False,False,1
E02_normal_002,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E02_normal_003,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E02_normal_004,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E02_normal_005,normal,E02,NORMAL_FALSE_ALARM,正常误报,,"FR,RL",,"FR,RL",False,False,2
E02_normal_006,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E02_normal_007,normal,E02,NORMAL_FALSE_ALARM,正常误报,,"RL,RR",,"RL,RR",False,False,2
E02_normal_008,normal,E02,NORMAL_FALSE_ALARM,正常误报,,FR,,FR,False,False,1
E02_normal_009,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E02_normal_010,normal,E02,NORMAL_OK,正常通过,,,,,False,False,0
E03_event_000,event,E03,EVENT_OK,及时检出,0.14000000000000057,RR,RR,,False,False,1
E03_event_001,event,E03,EVENT_OK,及时检出,0.1413238000000021,RR,RR,,False,False,1
E03_event_002,event,E03,EVENT_OK,及时检出,0.1411721499999956,RR,RR,,False,False,1
E03_event_003,event,E03,EVENT_OK,及时检出,0.1339025700000036,RR,RR,,False,False,1
E03_event_004,event,E03,EVENT_OK,及时检出,0.13296533000000466,RR,RR,,False,False,1
E03_event_005,event,E03,EVENT_OK,及时检出,0.13714445000000097,RR,RR,,False,False,1
E03_event_006,event,E03,EVENT_OK,及时检出,0.13221733000000313,RR,RR,,False,False,1
E03_event_007,event,E03,EVENT_OK,及时检出,0.1295718400000041,RR,RR,,False,False,1
E03_event_008,event,E03,EVENT_OK,及时检出,0.14034829999999943,RR,RR,,False,False,1
E03_event_009,event,E03,EVENT_OK,及时检出,0.13137715999999955,RR,RR,,False,False,1
E03_event_010,event,E03,EVENT_OK,及时检出,0.13823646000000167,RR,RR,,False,False,1
E03_event_011,event,E03,EVENT_OK,及时检出,0.137541039999995,RR,RR,,False,False,1
E03_event_012,event,E03,EVENT_OK,及时检出,0.14272108000000117,RR,RR,,False,False,1
E03_event_013,event,E03,EVENT_OK,及时检出,0.13496242999999453,RR,RR,,False,False,1
E03_event_014,event,E03,EVENT_OK,及时检出,0.1419438200000016,RR,RR,,False,False,1
E03_event_015,event,E03,EVENT_OK,及时检出,0.1355608900000007,RR,RR,,False,False,1
E03_event_016,event,E03,EVENT_OK,及时检出,0.13729005000000427,RR,RR,,False,False,1
E03_event_017,event,E03,EVENT_OK,及时检出,0.13498199,RR,RR,,False,False,1
E03_event_018,event,E03,EVENT_OK,及时检出,0.13614581999999587,RR,RR,,False,False,1
E03_event_019,event,E03,EVENT_OK,及时检出,0.13870220999999816,RR,RR,,False,False,1
E03_event_020,event,E03,EVENT_OK,及时检出,0.13753422999999998,RR,RR,,False,False,1
E03_event_021,event,E03,EVENT_OK,及时检出,0.13127175000000335,RR,RR,,False,False,1
E03_event_022,event,E03,EVENT_OK,及时检出,0.13571028999999868,RR,RR,,False,False,1
E03_event_023,event,E03,EVENT_OK,及时检出,0.13096112000000204,RR,RR,,False,False,1
E03_event_024,event,E03,EVENT_OK,及时检出,0.13546692999999976,RR,RR,,False,False,1
E03_event_025,event,E03,EVENT_OK,及时检出,0.13775366000000133,RR,RR,,False,False,1
E03_event_026,event,E03,EVENT_OK,及时检出,0.13986443999999665,RR,RR,,False,False,1
E03_event_027,event,E03,EVENT_OK,及时检出,0.1359460300000066,RR,RR,,False,False,1
E03_event_028,event,E03,EVENT_OK,及时检出,0.12880548000000402,RR,RR,,False,False,1
E03_event_029,event,E03,EVENT_OK,及时检出,0.1390763899999996,RR,RR,,False,False,1
E03_event_030,event,E03,EVENT_OK,及时检出,0.14034441000000442,RR,RR,,False,False,1
E03_event_031,event,E03,EVENT_OK,及时检出,0.1351607299999955,RR,RR,,False,False,1
E03_event_032,event,E03,EVENT_OK,及时检出,0.13403641999999394,RR,RR,,False,False,1
E03_event_033,event,E03,EVENT_OK,及时检出,0.142595060000005,RR,RR,,False,False,1
E03_event_034,event,E03,EVENT_OK,及时检出,0.13751656000000168,RR,RR,,False,False,1
E03_event_035,event,E03,EVENT_OK,及时检出,0.14335939000000053,RR,RR,,False,False,1
E03_event_036,event,E03,EVENT_OK,及时检出,0.13115974000000108,RR,RR,,False,False,1
E03_event_037,event,E03,EVENT_OK,及时检出,0.13081537000000054,RR,RR,,False,False,1
E03_event_038,event,E03,EVENT_OK,及时检出,0.1367903599999991,RR,RR,,False,False,1
E03_event_039,event,E03,EVENT_OK,及时检出,0.13243605000000258,RR,RR,,False,False,1
E03_event_040,event,E03,EVENT_OK,及时检出,0.14084795000000128,RR,RR,,False,False,1
E03_event_041,event,E03,EVENT_OK,及时检出,0.13812665999999751,RR,RR,,False,False,1
E03_event_042,event,E03,EVENT_OK,及时检出,0.13730826000000462,RR,RR,,False,False,1
E03_event_043,event,E03,EVENT_OK,及时检出,0.13475927999999726,RR,RR,,False,False,1
E03_event_044,event,E03,EVENT_OK,及时检出,0.13309733999999906,RR,RR,,False,False,1
E03_event_045,event,E03,EVENT_OK,及时检出,0.1400534600000043,RR,RR,,False,False,1
E03_event_046,event,E03,EVENT_OK,及时检出,0.13802928999999864,RR,RR,,False,False,1
E03_event_047,event,E03,EVENT_OK,及时检出,0.13287512000000135,RR,RR,,False,False,1
E03_event_048,event,E03,EVENT_OK,及时检出,0.13689671000000203,RR,RR,,False,False,1
E03_event_049,event,E03,EVENT_OK,及时检出,0.13903719999999709,RR,RR,,False,False,1
E03_event_050,event,E03,EVENT_OK,及时检出,0.14070341999999414,RR,RR,,False,False,1
E03_normal_001,normal,E03,NORMAL_FALSE_ALARM,正常误报,,FR,,FR,False,False,2
E03_normal_002,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_003,normal,E03,NORMAL_FALSE_ALARM,正常误报,,"FR,RL",,"FR,RL",False,False,2
E03_normal_004,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_005,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_006,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_007,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_008,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_009,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E03_normal_010,normal,E03,NORMAL_OK,正常通过,,,,,False,False,0
E04_event_000,event,E04,EVENT_OK,及时检出,0.14000000000000057,RR,RR,,False,False,1
E04_event_001,event,E04,EVENT_OK,及时检出,0.14808293000000106,RR,RR,,False,False,1
E04_event_002,event,E04,EVENT_OK,及时检出,0.1461570000000023,RR,RR,,False,False,1
E04_event_003,event,E04,EVENT_OK,及时检出,0.1494346300000018,RR,RR,,False,False,1
E04_event_004,event,E04,EVENT_OK,及时检出,0.13828572999999977,RR,RR,,False,False,1
E04_event_005,event,E04,EVENT_OK,及时检出,0.14859631999999579,RR,RR,,False,False,1
E04_event_006,event,E04,EVENT_OK,及时检出,0.14371900000000437,RR,RR,,False,False,1
E04_event_007,event,E04,EVENT_OK,及时检出,0.13977135999999746,RR,RR,,False,False,1
E04_event_008,event,E04,EVENT_OK,及时检出,0.14217531000000605,RR,RR,,False,False,1
E04_event_009,event,E04,EVENT_OK,及时检出,0.1384915899999939,RR,RR,,False,False,1
E04_event_010,event,E04,EVENT_OK,及时检出,0.14862869999999617,RR,RR,,False,False,1
E04_event_011,event,E04,EVENT_OK,及时检出,0.14881721000000425,RR,RR,,False,False,1
E04_event_012,event,E04,EVENT_OK,及时检出,0.14319986000000284,RR,RR,,False,False,1
E04_event_013,event,E04,EVENT_OK,及时检出,0.14681861999999768,RR,RR,,False,False,1
E04_event_014,event,E04,EVENT_OK,及时检出,0.13949721000000181,RR,RR,,False,False,1
E04_event_015,event,E04,EVENT_OK,及时检出,0.14091936999999888,RR,RR,,False,False,1
E04_event_016,event,E04,EVENT_OK,及时检出,0.14578934000000032,RR,RR,,False,False,1
E04_event_017,event,E04,EVENT_OK,及时检出,0.1427072700000025,RR,RR,,False,False,1
E04_event_018,event,E04,EVENT_OK,及时检出,0.14303104000000388,RR,RR,,False,False,1
E04_event_019,event,E04,EVENT_OK,及时检出,0.13671227999999758,RR,RR,,False,False,1
E04_event_020,event,E04,EVENT_OK,及时检出,0.1482701900000052,RR,RR,,False,False,1
E04_event_021,event,E04,EVENT_OK,及时检出,0.14484756000000232,RR,RR,,False,False,1
E04_event_022,event,E04,EVENT_OK,及时检出,0.1461922199999961,RR,RR,,False,False,1
E04_event_023,event,E04,EVENT_OK,及时检出,0.1490419799999998,RR,RR,,False,False,1
E04_event_024,event,E04,EVENT_OK,及时检出,0.14302769999999754,RR,RR,,False,False,1
E04_event_025,event,E04,EVENT_OK,及时检出,0.14539023000000384,RR,RR,,False,False,1
E04_event_026,event,E04,EVENT_OK,及时检出,0.142310430000002,RR,RR,,False,False,1
E04_event_027,event,E04,EVENT_OK,及时检出,0.14040261000000243,RR,RR,,False,False,1
E04_event_028,event,E04,EVENT_OK,及时检出,0.14901838000000112,RR,RR,,False,False,1
E04_event_029,event,E04,EVENT_OK,及时检出,0.14237725000000268,RR,RR,,False,False,1
E04_event_030,event,E04,EVENT_OK,及时检出,0.1395543900000007,RR,RR,,False,False,1
E04_event_031,event,E04,EVENT_OK,及时检出,0.13929181000000312,RR,RR,,False,False,1
E04_event_032,event,E04,EVENT_OK,及时检出,0.1482588099999944,RR,RR,,False,False,1
E04_event_033,event,E04,EVENT_OK,及时检出,0.14601708000000002,RR,RR,,False,False,1
E04_event_034,event,E04,EVENT_OK,及时检出,0.1492510400000029,RR,RR,,False,False,1
E04_event_035,event,E04,EVENT_OK,及时检出,0.14642211000000316,RR,RR,,False,False,1
E04_event_036,event,E04,EVENT_OK,及时检出,0.14495213000000007,RR,RR,,False,False,1
E04_event_037,event,E04,EVENT_OK,及时检出,0.14567154000000215,RR,RR,,False,False,1
E04_event_038,event,E04,EVENT_OK,及时检出,0.14357892000000305,RR,RR,,False,False,1
E04_event_039,event,E04,EVENT_OK,及时检出,0.14396215000000012,RR,RR,,False,False,1
E04_event_040,event,E04,EVENT_OK,及时检出,0.13978013999999916,RR,RR,,False,False,1
E04_event_041,event,E04,EVENT_OK,及时检出,0.1446568699999986,RR,RR,,False,False,1
E04_event_042,event,E04,EVENT_OK,及时检出,0.1477490099999983,RR,RR,,False,False,1
E04_event_043,event,E04,EVENT_OK,及时检出,0.1409098899999961,RR,RR,,False,False,1
E04_event_044,event,E04,EVENT_OK,及时检出,0.1441230599999983,RR,RR,,False,False,1
E04_event_045,event,E04,EVENT_OK,及时检出,0.1397308099999961,RR,RR,,False,False,1
E04_event_046,event,E04,EVENT_OK,及时检出,0.14301172999999778,RR,RR,,False,False,1
E04_event_047,event,E04,EVENT_OK,及时检出,0.14388324000000097,RR,RR,,False,False,1
E04_event_048,event,E04,EVENT_OK,及时检出,0.14698990000000123,RR,RR,,False,False,1
E04_event_049,event,E04,EVENT_OK,及时检出,0.1412072600000016,RR,RR,,False,False,1
E04_event_050,event,E04,EVENT_OK,及时检出,0.14480906000000004,RR,RR,,False,False,1
E04_normal_001,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_002,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_003,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_004,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_005,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_006,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_007,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_008,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_009,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
E04_normal_010,normal,E04,NORMAL_OK,正常通过,,,,,False,False,0
