sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E01_event_050,event,E01,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.1363628100000014,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,23
E01_normal_001,normal,E01,NORMAL_FALSE_ALARM,正常误报,,FR,,FR,False,False,1
E01_normal_002,normal,E01,NORMAL_FALSE_ALARM,正常误报,,"FL,RL",,"FL,RL",False,False,3
E01_normal_003,normal,E01,NORMAL_FALSE_ALARM,正常误报,,FR,,FR,False,False,1
E01_normal_004,normal,E01,NORMAL_OK,正常通过,,,,,False,False,0
E01_normal_005,normal,E01,NORMAL_FALSE_ALARM,正常误报,,"RL,RR",,"RL,RR",False,False,2
E01_normal_006,normal,E01,NORMAL_FALSE_ALARM,正常误报,,"RL,RR",,"RL,RR",False,False,2
E01_normal_007,normal,E01,NORMAL_OK,正常通过,,,,,False,False,0
E01_normal_008,normal,E01,NORMAL_OK,正常通过,,,,,False,False,0
E01_normal_009,normal,E01,NORMAL_OK,正常通过,,,,,False,False,0
E01_normal_010,normal,E01,NORMAL_FALSE_ALARM,正常误报,,"FL,FR,RL,RR",,"FL,FR,RL,RR",False,False,31
E02_event_000,event,E02,EVENT_OK,及时检出,0.10000000000000142,RR,RR,,False,False,1
E02_event_001,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.07668204000000145,"FR,RL,RR",RR,"FR,RL",True,True,6
E02_event_002,event,E02,EVENT_OK,及时检出,0.10596491999999813,RR,RR,,False,False,1
E02_event_003,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10443856999999923,"FR,RR",RR,"FR,RR",True,True,9
E02_event_004,event,E02,EVENT_OK,及时检出,0.10357755999999796,RR,RR,,False,False,1
E02_event_005,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.0824149000000034,"FR,RR",RR,"FR,RR",True,True,10
E02_event_006,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11019790999999657,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,29
E02_event_007,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10097169999999522,"FR,RR",RR,"FR,RR",True,True,16
E02_event_008,event,E02,EVENT_OK,及时检出,0.10433581000000203,RR,RR,,False,False,1
E02_event_009,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11188828000000228,"FR,RR",RR,FR,True,True,7
E02_event_010,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10142343000000409,"FR,RR",RR,"FR,RR",True,True,6
E02_event_011,event,E02,EVENT_OK,及时检出,0.09893162000000189,RR,RR,,False,False,1
E02_event_012,event,E02,EVENT_OK,及时检出,0.11322018999999983,RR,RR,,False,False,1
E02_event_013,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.1072545900000037,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,49
E02_event_014,event,E02,EVENT_OK,及时检出,0.10853462000000036,RR,RR,,False,False,1
E02_event_015,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11011444000000381,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,47
E02_event_016,event,E02,EVENT_OK,及时检出,0.10583178999999632,RR,RR,,False,False,1
E02_event_017,event,E02,EVENT_OK,及时检出,0.10015294000000097,RR,RR,,False,False,1
E02_event_018,event,E02,EVENT_OK,及时检出,0.11224941000000399,RR,RR,,False,False,1
E02_event_019,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.07735605999999962,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,44
E02_event_020,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11337669000000261,"FR,RR",RR,FR,True,True,2
E02_event_021,event,E02,EVENT_OK,及时检出,0.09769244999999671,RR,RR,,False,False,1
E02_event_022,event,E02,EVENT_OK,及时检出,0.10234906999999538,RR,RR,,False,False,1
E02_event_023,event,E02,EVENT_OK,及时检出,0.10573803999999853,RR,RR,,False,False,1
