status,input_file,case_dir,algorithm,frames,valid_speed_frames,duration_s,false_alarm,alarm_wheels,alarm_events,alarm_frames,confirmed_false_alarm,confirmed_alarm_wheels,confirmation_events,FL_alarm_events,FL_alarm_frames,FL_confirmation_events,FL_first_alarm_time_s,FL_first_estimated_onset_time_s,FR_alarm_events,FR_alarm_frames,FR_confirmation_events,FR_first_alarm_time_s,FR_first_estimated_onset_time_s,RL_alarm_events,RL_alarm_frames,RL_confirmation_events,RL_first_alarm_time_s,RL_first_estimated_onset_time_s,RR_alarm_events,RR_alarm_frames,RR_confirmation_events,RR_first_alarm_time_s,RR_first_estimated_onset_time_s
ok,/home/zich/haar/RobustData/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny.txt,/home/zich/haar/robust_data_results_smoke/cases/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,hard,102500,98171,1024.99,True,"FR,RL,RR",5,124,False,,0,0,0,0,,,1,25,0,669.63,669.54,1,22,0,1017.63,1017.54,3,77,0,7.23,7.14
ok,/home/zich/haar/RobustData/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny.txt,/home/zich/haar/robust_data_results_smoke/cases/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,evidence,102500,98171,1024.99,True,"FL,RL,RR",4,102021,True,RR,1,2,162,0,674.99,674.9,0,0,0,,,1,81,0,663.35,663.26,1,101778,1,7.22,7.13
