wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,151387,41.07167654,41.40648268,0.51944559,0.50251256,1.68563944,raw_reference
1,151281,41.05395583,41.40757419,0.53214833,0.51478421,1.72545828,raw_reference
2,151305,41.00764683,41.35415772,0.55528011,0.70613066,1.67315661,raw_reference
3,151198,40.97882761,41.34544975,0.52083462,0.45064123,1.65218988,raw_reference
0,151387,41.07167863,41.40334707,0.51639000,0.48780590,1.69096162,phase_corrected
1,151281,41.05394646,41.41007206,0.52703161,0.49927085,1.72893945,phase_corrected
2,151305,41.00759987,41.35857624,0.52134610,0.55339442,1.67637839,phase_corrected
3,151198,40.97882391,41.33937484,0.51663322,0.43171797,1.66282052,phase_corrected
0,151387,40.99322268,41.32804480,1.24187599,1.36102460,2.15056372,reference_compensation_on
1,151281,40.95502909,41.32369585,1.32842053,1.57862638,2.32021565,reference_compensation_on
2,151305,40.90877852,41.24990354,1.40600742,1.87321124,2.62176758,reference_compensation_on
3,151198,40.80216156,41.12462893,1.77940432,2.69992494,3.56766125,reference_compensation_on
0,151387,41.14960499,41.49398581,1.15947043,1.33889566,2.12655603,reference_plus_or_diagnostic
1,151281,41.15217970,41.51153083,1.24036329,1.54362595,2.21168121,reference_plus_or_diagnostic
2,151305,41.10498720,41.44690696,1.31008773,1.83249035,2.58538196,reference_plus_or_diagnostic
3,151198,41.15215747,41.47098049,1.68603478,2.64582847,3.43459638,reference_plus_or_diagnostic
