wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,171207,40.20754224,41.02152739,0.48399667,0.61418342,1.30800553,raw_reference
1,171384,40.15496613,40.96589628,0.42354825,0.56661994,1.28115206,raw_reference
2,171159,40.11465804,40.91894151,0.49160841,0.74673053,1.24400224,raw_reference
3,171288,40.06431772,40.85933635,0.44191064,0.47461527,1.08202304,raw_reference
0,171207,40.20754029,41.02218315,0.48271315,0.61053455,1.30446622,phase_corrected
1,171384,40.15496317,40.96429620,0.41390196,0.54397560,1.27694418,phase_corrected
2,171159,40.11465053,40.92056531,0.46925967,0.66814831,1.21516377,phase_corrected
3,171288,40.06431514,40.86045717,0.43707718,0.45810518,1.07649063,phase_corrected
0,171207,40.22728755,41.03867507,0.60721392,0.68891795,1.37333278,reference_compensation_on
1,171384,40.15625025,40.96589628,0.73190597,0.67307414,1.33005894,reference_compensation_on
2,171159,40.11568515,40.91467823,0.79519275,0.85182741,1.36513992,reference_compensation_on
3,171288,40.07316824,40.87209427,0.54230201,0.52190121,1.10645666,reference_compensation_on
0,171207,40.18786079,41.00225337,0.62404141,0.68570635,1.35599632,reference_plus_or_diagnostic
1,171384,40.15362669,40.96375963,0.74283668,0.67163467,1.34296442,reference_plus_or_diagnostic
2,171159,40.11341228,40.91467823,0.78826123,0.85173059,1.35804266,reference_plus_or_diagnostic
3,171288,40.05513588,40.85508549,0.57610817,0.52360443,1.10902378,reference_plus_or_diagnostic
