algorithm,sample_id,sample_type,source_event_id,is_augmented,target_wheels,event_time_s,detected_within_window,delay_s,false_alarm,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_wheels,first_alarm_times_s,candidate_entries
quant_baseline,E01_event_050,event,E01,1,RR,39.97363719,True,0.8463628100000022,False,False,False,RR,RR:40.82000000,1
quant_baseline,E01_normal_001,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_002,normal,E01,1,,,False,,False,False,False,,,2
quant_baseline,E01_normal_003,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_004,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_005,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_006,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_007,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_008,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E01_normal_009,normal,E01,1,,,False,,False,False,False,,,2
quant_baseline,E01_normal_010,normal,E01,1,,,False,,False,False,False,,,0
quant_baseline,E02_event_000,event,E02,0,RR,40.0,True,0.8100000000000023,False,False,False,RR,RR:40.81000000,1
quant_baseline,E02_event_001,event,E02,1,RR,39.63958261,True,0.8104173900000049,False,False,False,RR,RR:40.45000000,1
quant_baseline,E02_event_002,event,E02,1,RR,40.03661103,True,0.8133889699999983,False,False,False,RR,RR:40.85000000,1
quant_baseline,E02_event_003,event,E02,1,RR,39.9893786,True,0.8106213999999952,False,False,False,RR,RR:40.80000000,1
quant_baseline,E02_event_004,event,E02,1,RR,40.08294955,True,0.8070504499999984,False,False,False,RR,RR:40.89000000,1
quant_baseline,E02_event_005,event,E02,1,RR,40.03581871,True,0.8141812900000005,False,False,False,RR,RR:40.85000000,1
quant_baseline,E02_event_006,event,E02,1,RR,40.38409835,True,0.8059016499999956,False,False,False,RR,RR:41.19000000,1
quant_baseline,E02_event_007,event,E02,1,RR,40.13971781,True,0.8102821900000023,False,False,False,RR,RR:40.95000000,1
quant_baseline,E02_event_008,event,E02,1,RR,39.53379653,True,0.8062034700000069,False,False,False,RR,RR:40.34000000,1
quant_baseline,E02_event_009,event,E02,1,RR,39.66275376,True,0.8072462399999978,False,False,False,RR,RR:40.47000000,1
quant_baseline,E02_event_010,event,E02,1,RR,39.84631686,True,0.8036831399999969,False,False,False,RR,RR:40.65000000,1
quant_baseline,E02_event_011,event,E02,1,RR,40.08052473,True,0.8094752700000001,False,False,False,RR,RR:40.89000000,1
quant_baseline,E02_event_012,event,E02,1,RR,39.70724744,True,0.8127525599999998,False,False,False,RR,RR:40.52000000,1
quant_baseline,E02_event_013,event,E02,1,RR,40.15041291,True,0.8095870900000008,False,False,False,RR,RR:40.96000000,1
quant_baseline,E02_event_014,event,E02,1,RR,40.40985579,True,0.8101442099999971,False,False,False,RR,RR:41.22000000,1
quant_baseline,E02_event_015,event,E02,1,RR,40.13057125,True,0.799428749999997,False,False,False,RR,RR:40.93000000,1
quant_baseline,E02_event_016,event,E02,1,RR,40.24567359,True,0.8043264099999945,False,False,False,RR,RR:41.05000000,1
quant_baseline,E02_event_017,event,E02,1,RR,39.97659866,True,0.8034013400000006,False,False,False,RR,RR:40.78000000,1
quant_baseline,E02_event_018,event,E02,1,RR,39.61326397,True,0.8067360300000033,False,False,False,RR,RR:40.42000000,1
quant_baseline,E02_event_019,event,E02,1,RR,39.75436282,True,0.8156371800000031,False,False,False,RR,RR:40.57000000,1
quant_baseline,E02_event_020,event,E02,1,RR,39.88116103,True,0.8088389699999965,False,False,False,RR,RR:40.69000000,1
quant_baseline,E02_event_021,event,E02,1,RR,40.02214928,True,0.8078507199999976,False,False,False,RR,RR:40.83000000,1
quant_baseline,E02_event_022,event,E02,1,RR,40.2130071,True,0.8069929000000045,False,False,False,RR,RR:41.02000000,1
quant_baseline,E02_event_023,event,E02,1,RR,39.92045702,True,0.8095429799999962,False,False,False,RR,RR:40.73000000,1
quant_baseline,E02_event_024,event,E02,1,RR,39.58793981,True,0.9920601899999966,False,False,False,RR,RR:40.58000000,2
quant_baseline,E02_event_025,event,E02,1,RR,39.6605519,True,0.8094480999999973,False,False,False,RR,RR:40.47000000,1
