wheel,valid_points,mean_rad_s,median_rad_s,residual_std_pct,residual_p95_abs_pct,residual_p99_abs_pct,series
0,111477,40.67401371,41.43050923,0.64388780,0.61267074,2.56156855,raw_reference
1,111884,40.55500328,41.25965506,0.67313131,0.66834618,2.87279612,raw_reference
2,111287,40.63436307,41.36504784,0.68295518,0.75679766,2.40651746,raw_reference
3,111710,40.50972426,41.18501119,0.64876482,0.55935388,2.50806291,raw_reference
0,111477,40.67400967,41.42593981,0.64206599,0.60941816,2.55622119,phase_corrected
1,111884,40.55500961,41.26100647,0.66916847,0.66477294,2.84463811,phase_corrected
2,111287,40.63434891,41.35807393,0.66408440,0.72457399,2.46853056,phase_corrected
3,111710,40.50973629,41.18646719,0.64460941,0.55280121,2.53624205,phase_corrected
0,111477,40.54063407,41.27591777,1.62868266,2.02696555,3.18462708,reference_compensation_on
1,111884,40.40690621,41.05154523,1.34188493,2.25774147,3.44919571,reference_compensation_on
2,111287,40.48936612,41.18933099,1.72796219,2.12624368,3.27727454,reference_compensation_on
3,111710,40.34844140,40.96696468,1.80233603,2.36264931,3.53829011,reference_compensation_on
0,111477,40.80628750,41.52909070,1.53797425,1.97111239,2.97946786,reference_plus_or_diagnostic
1,111884,40.70171598,41.34381748,1.27965073,2.18877794,3.26031513,reference_plus_or_diagnostic
2,111287,40.77790833,41.47207537,1.63069141,2.10065469,3.06205427,reference_plus_or_diagnostic
3,111710,40.66897804,41.28893720,1.72046800,2.31171894,3.16335721,reference_plus_or_diagnostic
